NOME FANTASIA,RAZÃO SOCIAL,CNPJ,TIPO,ATIVIDADE,NATUREZA JURÍDICA,PORTE,FATURAMENTO,CAPITAL SOCIAL,QUANT. FUNC.,DATA ABERT.,SÓCIOS,TELEFONE,EMAIL,CIDADE,ESTADO,BAIRRO,CEP,LOGRADOURO,NÚMERO,LOCATION,Lat,Lng,km.res$cluster
B.E Locacao De Imoveis Ltda - Epp,B.E Locacao De Imoveis Ltda - Epp,17.851.721/0001-08,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,4/1/2013,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Distrito Industrial, 58.411-370,Avenida Aeroclube,S/N,"Avenida Aeroclube, Campina Grande - PB",-7.263857,-35.8917212,4
Jose Irineu Da Costa Lima - Epp,Jose Irineu Da Costa Lima - Epp,12.929.998/0001-92,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,20 à 49,12/1/1988,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Jose Americo,58.073-171,Rua Antonio Anastacio Pereira,S/N,"Rua Antonio Anastacio Pereira, Joao Pessoa - PB",-7.1653656,-34.8534228,4
Agencia Paraibana De Despachos Maritimos Ltda - Epp,Agencia Paraibana De Despachos Maritimos Ltda - Epp,35.497.718/0001-10,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,2/1/1991,Não Informado,(83) 3228-4261,Não Informado,Cabedelo,PB,Centro,58.100-100,Rua Presidente Joao Pessoa,23 A,"Rua Presidente Joao Pessoa, Cabedelo - PB",-6.973809,-34.837604,2
Svc-Fly Servicos De Transportes Aereos Auxiliares Ltda - Epp,Svc-Fly Servicos De Transportes Aereos Auxiliares Ltda - Epp,02.974.678/0001-09,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Até 4,2/11/1999,Não Informado,Não Informado,Não Informado,Bayeux,PB,Aeroporto,58.308-330,Aer Castro Pinto,S/N,"Aer Castro Pinto, Bayeux - PB",-7.1460091,-34.9487764,4
Milenio Servicos De Reboque De Veiculos Ltda - Epp,Milenio Servicos De Reboque De Veiculos Ltda - Epp,05.215.841/0001-30,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,10 à 19,8/14/2002,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Centro,58.400-036,Rua Joao Suassuna,S/N,"Rua Joao Suassuna, Campina Grande - PB",-7.2122617,-35.896333,2
Ndj Lojistica De Transportes E Representacao Eireli - Epp,Ndj Lojistica De Transportes E Representacao Eireli - Epp,20.118.259/0001-49,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,4/22/2014,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Torre,58.040-380,Avenida Nossa Senhora De Fatima,S/N,"Avenida Nossa Senhora De Fatima, Joao Pessoa - PB",-7.1282105,-34.8653051,4
Thunnus,Thunnus Servicos Maritimos Eireli - Epp,16.581.101/0001-33,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,7/26/2012,Não Informado,(83) 3228-2136,Não Informado,Cabedelo,PB,Centro,58.100-100,Rua Presidente Joao Pessoa,23A,"Rua Presidente Joao Pessoa, Cabedelo - PB",-6.973809,-34.837604,2
Mgf Servico De Estacionamento De Veiculos Ltda - Epp,Mgf Servico De Estacionamento De Veiculos Ltda - Epp,26.116.973/0001-84,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,"10,000.00",Não Informado,9/6/2016,"Rogerio De Melo, Monique Raissa Duarte De Melo",(85) 9139-2288,Não Informado,Campina Grande,PB,Jose Pinheiro,58.407-475,Avenida Prefeito Severino Bezerra Cabral,1339,"Avenida Prefeito Severino Bezerra Cabral, Campina Grande - PB",-7.2390598,-35.86361,2
Cargas E Descargas J. Silva,Josemar De Lima Silva - Epp,05.232.381/0001-58,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,20 à 49,8/20/2002,Não Informado,(83) 8885-2341,zimar01@hotmail.com,Campina Grande,PB,Velame,58.419-278,Rua Julio Eduardo De Morais Da Silva,121,"Rua Julio Eduardo De Morais Da Silva, Campina Grande - PB",-7.2882989,-35.8956671,4
Maria Auxiliadora De Souto Cordeiro - Epp,Maria Auxiliadora De Souto Cordeiro - Epp,03.160.984/0001-66,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,5/13/1999,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Centro,58.400-028,Rua Joao Da Silva Pimentel,S/N,"Rua Joao Da Silva Pimentel, Campina Grande - PB",-7.2130686,-35.8877797,4
CloudtaxÍ AÉreo Gerenciamento De Voos Ltda - Epp,CloudtaxÍ AÉreo Gerenciamento De Voos Ltda - Epp,24.324.698/0001-69,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,3/7/2016,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Nacoes,58.402-663,Avenida Belgica,S/N,"Avenida Belgica, Campina Grande - PB",-7.19469,-35.8786738,4
Tadeu Freitas Dos Santos - Epp,Tadeu Freitas Dos Santos - Epp,18.071.408/0001-10,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,5/7/2013,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Oitizeiro,58.087-000,Avenida Cruz Das Armas,S/N,"Avenida Cruz Das Armas, Joao Pessoa - PB",-7.1487564,-34.893197,2
Smartiks Tecnologia,Smartiks Tecnologia Da Informacao Ltda,06.141.653/0001-77,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$40,000.00",5 à 9,3/15/2004,"Eloi Rocha Neto, Leandro Jose Ventura Silva",(83) 98868-7025,elo@smartiks.com,Campina Grande,PB,Universitário,58.429-690,Rua Emiliano Rosendo Da Silva,115,"Rua Emiliano Rosendo Da Silva, Campina Grande - PB",-7.2076629,-35.9223008,4
Social.Id Gestao Em Midias Sociais,Luciano Marques De Macedo,19.561.936/0001-10,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$10,000.00",Não informado,1/21/2014,Não informado,(83) 98822-8003,Não informado,João Pessoa,PB,Manaíra,58.038-440,Rua Francisco De Assis Frade,150,"Rua Francisco De Assis Frade, João Pessoa - PB",-7.0983759,-34.8407635,4
Brdeal Consultoria,Brdeal Consultoria E Desenvolvimento De Sistemas Em Automacao Ltda,17.894.382/0001-47,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$50,000.00",Não informado,4/9/2013,"Marcos Jose Ribeiro Antunes, Cesar Da Silva Gomes",(83) 98857-3331,Não informado,Catolé da Rocha,PB,Centro,58.884-000,Rua Bevenuto Goncalves,S/N,"Rua Bevenuto Goncalves, Catolé da Rocha - PB",-6.3425863,-37.7481492,4
Plus Up - Solucoes Digitais,Wesley Costa Melo Galdino,12.644.570/0001-01,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$2,000.00",Não informado,10/6/2010,Não informado,(83) 3343-1700,wesleygaldino@gmail.com,Campina Grande,PB,Lauritzen,58.401-396,Rua Agrimensor Jose De Brito,66,"Rua Agrimensor Jose De Brito, Campina Grande - PB",-7.2134656,-35.880725,2
Keno Pb / Conect Facil Pb,New Loteamento Conect Pb Servicos Ltda,25.375.492/0001-20,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$300,000.00",Não informado,8/4/2016,"Carlos Henrique Reis Menezes, Bruno Iath Pires",(83) 99805-8491,chrmenezes@gmail.com,João Pessoa,PB,Torre,58.040-491,Avenida Rui Barbosa,1101,"Avenida Rui Barbosa, João Pessoa - PB",-7.12646,-34.8605262,4
Neocart Tecnologia,Marcia Regina Freire Paiva Bringel,13.420.817/0001-60,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$10,000.00",5 à 9,3/25/2011,Não informado,(83) 3021-3100,ricardo@neocart.com.br,João Pessoa,PB,Centro,58.013-522,Avenida Joao Machado,553,"Avenida Joao Machado, João Pessoa - PB",-7.1261454,-34.8782661,4
Dx3 ServiÇos Em Tecnologia Ltda.,Dx3 ServiÇos Em Tecnologia Ltda.,09.414.386/0001-52,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$30,000.00",Não informado,3/11/2008,"Matheus Elmiro Correia De Sousa, Marcus Antonio Nunes Cavalcanti Filho, Francisco Eleuterio De Oliveira Junior",(83) 3042-5289,Não informado,João Pessoa,PB,Bairro dos Estados,58.030-261,Avenida Maranhao,958,"Avenida Maranhao, João Pessoa - PB",-7.1150854,-34.8553413,4
E-Soft,E-Soft Tecnologia Em Informatica Ltda,17.758.807/0001-90,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,"R$30,000.00",Não informado,3/15/2013,"Jose Victor Bezerra Ramalho, Adriana Helena Bezerra Ramalho",(83) 3222-4586,Não informado,João Pessoa,PB,Pedro Gondim,58.031-000,Rua Desportista Aurelio Rocha,616,"Rua Desportista Aurelio Rocha, João Pessoa - PB",-7.115007,-34.8495141,4
Elmar - Processamento De Dados Eireli,Elmar - Processamento De Dados Eireli,09.164.369/0001-04,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,"R$94,000.00",10 à 19,4/26/1985,Elpidio Rodrigues Ramalho Filho,Não informado,Não informado,João Pessoa,PB,Pedro Gondim,58.031-010,Rua Cel Otto Feio Silveira,343,"Rua Cel Otto Feio Silveira, João Pessoa - PB",-7.118512,-34.8475665,4
Easy Plan Consultoria E Treinamento Em Planejamento E Tecnologia,Easy Plan Consultoria E Treinamento Em Planejamento E Tecnologia Ltda - Epp,21.519.310/0001-97,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,12/3/2014,Não informado,(83) 3421-6543,Não informado,Patos,PB,Brasília,58.700-470,Rua Ana Leite Nobrega,56,"Rua Ana Leite Nobrega, Patos - PB",-7.0269758,-37.2716212,4
Ricardo Guerra Informatica - Epp,Ricardo Guerra Informatica - Epp,03.500.830/0001-76,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresário (Individual),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,13/10/1999,Não informado,Não informado,Não informado,João Pessoa,PB,Tambauzinho,58.042-160,Rua Professora Emerentina Coelho,S/N,"Rua Professora Emerentina Coelho, João Pessoa - PB",-7.1222276,-34.8399157,4
Evolucao Suprimentos E Sistemas De Informatica Ltda - Epp,Evolucao Suprimentos E Sistemas De Informatica Ltda - Epp,08.156.402/0001-91,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,até 4,7/18/2006,Não informado,Não informado,Não informado,João Pessoa,PB,Bairro dos Estados,58.030-000,Avenida Epitacio Pessoa,S/N,"Avenida Epitacio Pessoa, João Pessoa - PB",-7.1196999,-34.8471031,4
Contabiltec Servicos E Tecnologia Ltda - Epp,Contabiltec Servicos E Tecnologia Ltda - Epp,17.903.482/0001-92,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Sociedade Empresária Limitada,Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,4/10/2013,Não informado,(83) 3513-9633,Não informado,João Pessoa,PB,Manaíra,58.038-440,Rua Francisco De Assis Frade,150,"Rua Francisco De Assis Frade, João Pessoa - PB",-7.0983759,-34.8407635,4
Jampatec Servicos De Informatica Eireli - Epp,Jampatec Servicos De Informatica Eireli - Epp,26.584.648/0001-46,SERVIÇOS,Atividades de Serviços de Tecnologia da informação e prestação de serviços de informática TI,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),Pequeno Porte,de R$360 mil até R$3.6 M ,Não informado,Não informado,22/11/2016,Não informado,Não informado,Não informado,Tavares,PB,Centro,58.753-000,Rua Saturnino Fagundes,S/N,"Rua Saturnino Fagundes, Tavares - PB",-7.6353663,-37.8769664,4
